SKU;NOME;EMAIL;WHATS;CIDADE;SEGMENTO;
704;LAB. ONUMA E BASILIO S/C LTDA;labsantacatarina@hotmail.com;;PALMEIRA D OESTE;;
705;JOAO JOSE SCHIAVUZZO ME;laboratoriotrianalise@hotmail.com;;PEREIRA BARRETO;;
708;IMEDI INST.MEDICO DE PAT.E DIAGNOSTICO SC LTDA.;imedi@email.com;;SAO JOSE DO RIO PRETO;;
724;LAB. ANAL. CLIN. DRA SILVIA M.MANZATO LARANJO SC LTDA.;labdrasilvialaranjo@gmail.com;;SANTA FE DO SUL;;
725;LAB. ANAL. CLIN. DR. ALUISIO CASELLA;laboratorio_casella@yahoo.com.br;;SANTA FE DO SUL;;
731;UNILAB LABORATORIO ANALISES CLINICAS SANTA FE DO SUL LTDA;unilab.stafe@hotmail.com;;SANTA FE DO SUL;;
741;LAB. ANAL. CLIN. DR. HELIO NAKABASHI SC LTDA;labhelionakabashi@gmail.com;;VOTUPORANGA;;
746;LAB.ANAL.CLIN.BIOCLIN SC LTDA.;bioclinlab@outlook.com;;ANDRADINA;;
756;LAB.TRIANON DE ANAL.CLIN.SC LTDA.;triatox@triatox.com.br;;ARACATUBA;;
761;EXAME CENTRO DIAG.M.ARACATUBA SC LTDA.;carolina.manzano@outlook.com;;ARACATUBA;;
762;STA. CASA MISERICORDIA DE ARACATUBA;stacpra@terra.com.br;;ARACATUBA;;
772;MEGARON LABORATORIO ANAL.CLIN.SC LTDA.;megaronlaboratorio@hotmail.com;;BURITAMA;;
784;LAB.ANAL.CLIN. ALBERT SABIN SC LTDA.;marilia.sabin@gmail.com;;BIRIGUI;;
822;SAO LUCAS LABORATORIO ANAL. CLIN. S/C LTDA;saolucas.laboratorio@gmail.com;;CATANDUVA;;
823;SANCHES x SANCHES S/C LTDA;laboratoriodrlauro@gmail.com;;CATANDUVA;;
832;ASSOCIACAO DE ENSINO E CULTURA DE MATO GROSSO;almoxarifado@unilago.edu.br;;TRES LAGOAS;FACULDADE;
874;LAB.ANAL.CLIN ABI JAUDI SC LTDA.;pabijaudi@gmail.com;;AMERICO BRASILIENSE;;
885;MEDCLINICA MORATENSE SC LTDA ME;medclinicamoratense@hotmail.com;;FRANCISCO MORATO;LABORATORIO;
905;LAB AN CLIN DR NESTOR FERRAREZZI FILHO  SC LTDA;labnestor@hotmail.com;;SEVERINIA;LABORATORIO;
906;LABORATORIO ANAL. CLIN. DESCALVADO LTDA;labdescalvado@gmail.com;;DESCALVADO;;
960;LUIS VALERIO FILHO-ME;patricia.azuaga@gmail.com;;MARAPOAMA;;
980;LAB. GUARARAPES  ANAL. CLIN. SC LTDA;laboratorioguararapes@gmail.com;;GUARARAPES;LABORATORIO;
1016;LAB.ANAL.CLIN. SAO LUCAS SC LTDA.;labolucas@gmail.com;;MIRANDOPOLIS;;
1026;LABSC SERVICOS LABORATORIAIS LTDA;cfabriciof@hotmail.com;;SANTA ADELIA;;
1041;EDSON VANDERLEI CARRERA;edson.carrera@hotmail.com;;SANTA CRUZ DA CONCEICAO;;
1058;LAB. ANAL. CLIN. DR ARNALDO BUAINAIN SS LTDA;lab.buainain@uol.com.br;;ARARAQUARA;LABORATORIO;
1122;FUNDEPAG;ceav.biologico@gmail.com;;SAO PAULO;;
1158;FUNDACAO DE DESENVOLVIMENTO DA PESQUISA;samuelsilva@fundep.com.br;;BELO HORIZONTE;;
1164;LAB. ANAL. CLIN. SAO LOURENCO S/C LTDA;luizantonio_ciocca@hotmail.com;;URUPES;;
1206;LABORATORIO RIO NEGRO CENTER DE MARILIA  LTDA;biolabormarilia@hotmail.com;;MARILIA;;
1240;MONICA VIEIRA DE CAMPOS REBELO-ME;laboratoriosaobento@hotmail.com;;CONCHAS;;
1318;LABORATORIO DE ANALISES CLINICAS VITAL  BRAZIL LTDA EPP;compras@lvb.com.br;;CAMPINAS;;
1371;MICHELE LOPES BERGAMIM-ME;biomedimiberga@hotmail.com;;IBIRA;;
1493;CEDIMA  CENTRO DE DIAG MONTE AZUL ANAL CLIN E CIT;laboratorio.cedima@bol.com.br;;MONTE AZUL PAULISTA;;
1502;ASSOC.CASA DE SAUDE BEN. DE INDIAPORA;laboratorioacsbi@gmail.com.br;;INDIAPORA;;
1533;LABORATORIO BIOANALISE DIAGNOSTICO LTDA;qualidadebioanalise@gmail.com;;MATAO;;
1534;CISCRE IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICOS LTDA;fabiana@ciscre.com.br;;CAMPINAS;LABORATORIO;
1616;NOVO HORIZONTE LAB.ANAL.CLIN.S/C LTDA.;everaldojoselazari@gmail.com;;NOVO HORIZONTE;;
1623;LAB.ANAL.CLIN. E REP. BADY BASSIT LTDA;labbady@terra.com.br;;BADY BASSITT;;
1652;LAB. SANTA CLARA ANAL.CLIN.;lab.santaclara@terra.com.br;;FERNANDOPOLIS;;
1726;IRMANDADE DA SANTA CASA DE MISERIC. DE MOGI MIRIM;francisco.rangel@santacasamogi.com.br;;MOGI-MIRIM;;
1742;A.C. BARBOSA S/C LTDA.;laboratorioacbarbosa@hotmail.com;;PAULO DE FARIA;;
1788;ZANATA & REIS LABORCLINICA LTDA;fumagallioliveiralab@gmail.com;;CACONDE;;
1806;LABORATORIO DE ANALISES CLINICAS SENTOME LTDA-ME;laboratoriosentome@hotmail.com;;BROTAS;LABORATORIO;
1813;BIOMED LAB.ANAL.CLIN. SC  LTDA;hpstanzani@hotmail.com;;IBITINGA;;
1842;LABORATORIO UNILABVET EIRELI;orcamentosunilabvet@gmail.com;;AMERICANA;;
1905;A.C. CORREA DE OLIVEIRA LABORATORIO CLÍNICO;anacarolina_biomedlab@hotmail.com;;BROTAS;;
1971;LABORATORIO POPULAR LAB 7 LTDA;pedromneto@uol.com.br;;IBITINGA;;
1989;SAO FRANCISCO ANAL. CLIN.;lab.saofrancisco@uol.com.br;;DESCALVADO;;
2022;LAB. MEDICO DR. MARICONDI S/C LTDA.;anaamelia@labmaricondi.com.br;;SAO CARLOS;;
2163;BIO-LAB SAO JUDAS TADEU S/C LTDA - ME;biolabsjt@gmail.com;;BOCAINA;;
2198;LABORATORIO BIONALISES S.S. LTDA;marciopaschuini@bioanalisems.com.br;;TRES LAGOAS;;
2203;FUNDACAO EDUCACIONAL DE ANDRADINA-FEA;fundacaofea@gmail.com;;ANDRADINA;FACULDADE;
2397;LAB ANAL CLINICAS SANTA RITA S/C LTDA;laboratorio_santa_rita@hotmail.com;;VISTA ALEGRE DO ALTO;;
2415;ROSSETTO E BARROS LABORATORIO DE ANALISES CLINICAS LTDA;biomedlp@uol.com.br;;LENCOIS PAULISTA;;
2572;LAB. ANAL. CLIN. COFFERS S/C LTDA;marcelocoffers@bol.com.br;;SANTA CRUZ DO RIO PARDO;;
2655;LABORATORIO JUNHO TEIXEIRA LTDA;junhoteixeira@outlook.com;;OURO FINO;LABORATORIO;
2702;SANTA CASA DE MISER. DE TAQUARITUBA;brendaleme@gmail.com;;TAQUARITUBA;;
2752;ROTOLI CLINICA VETERINARIA LTDA ME;amanda_zr@hotmail.com;;MOGI-MIRIM;;
2795;INSTITUICAO DOM BOSCO DE ENSINO E CULTURA;drc@fadap.br;;TUPA;;
2911;BIOLIFE-LABORATORIO DE ANALISES CLINICAS LTDA;marina@laboratoriobiolife.com.br;;MOCOCA;;
2955;ASSOCIACAO SANTA CASA SAUDE DE ARACATUBA;laboratorio@scsaudearacatuba.com.br;;ARACATUBA;HOSPITAL;
2980;ALMEIDA & FLAITT LABORATORIOS DE ANALISES CLINICAS LTDA;eficience2@hotmail.com;;TABATINGA;;
3017;IMUNOLAB LABORATORIO DE ANALISES CLINICAS LTDA ME;imunolab01@gmail.com;;AREIOPOLIS;;
3018;NP- LABORATORIO DE ANALISES CLINICAS LTDA;labormonte@hotmail.com;;MONTE APRAZIVEL;;
3065;ML NOSSA SENHORA APARECIDA SERVICOS ADMINISTRATIVOS LTDA;birigui.sp@amorsaude.com;;BIRIGUI;;
3077;CBI ANALISES CLINICAS S/S LTDA;italabgarcia@hotmail.com;;ITAPOLIS;;
3153;UNIMED DE TUPA COOPERATIVA DE TRABALHO MEDICO;lab.unimed@unimedtupa.com.br;;TUPA;;
3190;C D A CENTRO DE DIAGNOSTICO VETERINARIO;contato@cdalabvet.com.br;;PRESIDENTE PRUDENTE;;
3194;CENTRO DE DIAGNOSTICOS CONTROLE LTDA;compras@medsaoroque.com.br;;RIBEIRAO PRETO;;
3240;LABORLOPES LABORATORIO DE  ANALISES CLINICAS LTDA;laborlopes@hotmail.com;;CLEMENTINA;;
3245;LABORATORIO DE ANALISES CLINICAS ROSSETO & BARROS LTDA;comercial.biomedlp@uol.com.br;;RIBAS DO RIO PARDO;;
3405;CONSORCIO INTERMUNICIPAL DE SAUDE;ciensp.licitacao@terra.com.br;;ANDRADINA;LABORATORIO;
3475;LQF LABORATORIO QUIMICO FARMACEUTICO RIO PRETO EIRELI - ME;compras2@lqf.com.br;;SAO JOSE DO RIO PRETO;;
3565;LAB LIFE LABORATORIO DE ANALISES CLINICAS LTDA;jessica_b_ferraz@hotmail.com;;ANDRADINA;;
9063;LABORATORIO SAMIA LTDA;juliausamia@gmail.com;;CALDAS;LABORATORIO;
50185;ANIMALAB SS LTDA;animalabsc@hotmail.com;;SAO CARLOS;VETERINARIA;
50219;UNIPREV LAB DE ANALISES LOCACAO DE BENS E REPAROS LTDA EPP;rodrigo@uniprev.com.br;;DESCALVADO;;
50222;HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES;;;OSASCO;;
50310;ANSELMO EDUARDO BIANCO;;;ARARAS;;
50312;LAB-MED LAB.ANALISES CLINICAS;labmedtaba@gmail.com;;TABATINGA;;
50418;LABORATORIO SAO LUCAS DE BROTAS SS LTDA;financeiro.labsaolucasbrotas@gmail.com;;BROTAS;;
50465;LABORATORIO DE ANALISES CLINICAS VIDA BIRIGUI LTDA;laboratoriovidabg@hotmail.com;;BIRIGUI;;
50497;DIAGNOSTIKA-UNIDADE DIAGNOSTICA EM PATOLOGIA CIRURGICA E CITOLOGIA LTDA;compras@diagnostika.med.br;;SAO PAULO;;
50526;MURILO RIGOTTO TERRASSI;;;SANTA RITA DO PASSA QUATRO;;
50554;SAO ROQUE MEDICINA DIAGNOSTICA;saoroquecompras@hotmail.com;;BEBEDOURO;;
50558;FUNDACAO PAULISTA DE TECNOLOGIA E EDUCACAO;dpcompras@fpte.br;;LINS;;
50576;ANDRIAO CANEPPA E SILVA LTDA ME;aa2laboratorio@hotmail.com;;PROMISSAO;;
50728;SESTITO & TORRES CLINICA MEDICA;elisandratorres@hotmail.com;;CATANDUVA;;
50816;RALO & DORNELLES CLINICA VETERINARIA LTDA ME;jaquelinem.ralo@gmail.com;;SAO JOSE DO RIO PRETO;VETERINARIA;
50936;LABORATORIO DE ANALISES CLINICAS SAO JOSE LTDA;compras@laboratoriosaojose.com.br;;ARAGUARI;;
50961;SOLUTE MEDICAL GROUP BRAZIL LTDA;andre.tocchio@solutemedical.com.br;;INDAIATUBA;VETERINARIA;
51042;CLINICAO ANDRADINA PET SHOP E CLINICA VETERINARIA LTDA;clinicao_vet@hotmail.com;;ANDRADINA;;
51175;CLINICA MEDICA E ODONTOLOGICA AMOR SAUDE TUPA LTDA;tupa.sp@amorsaude.com;;TUPA;;
500005;ASSOCIACAO EDUCACIONAL DE ENSINO SUPERIOR;laboratorios@unilago.edu.br;;SAO JOSE DO RIO PRETO;FACULDADE;
500149;SAO ROQUE MEDICINA DIAGNOSTICA LTDA;compras@medsaoroque.com.br;;SINOP;LABORATORIO;
500243;UNIMED DE IBITINGA COOPERATIVA DE TRABALHO MEDICO;laboratorio@unimedibitinga.com.br;;IBITINGA;;
500245;NOTRE DAME INTERMEDICA MINAS GERAIS SAUDE S.A;nf.prestadores@hapvida.com.br;;BETIM;;
712;MARCELO MAURICIO  DE SOUZA;diretoria.servilab@gmail.com;;MACAUBAL;LABORATORIO;
50794;LABORATORIO GUIMARAES LTDA;administrativo@laboratorioguimaraes.com;;BASTOS;LABORATORIO;
500434;MS10 COMERCIAL DE VIDRARIAS PARA LABORATORIOS LTDA;ms10comercial@hotmail.com;;DIADEMA;REVENDA;
50728;SESTITO & TORRES CLINICA MEDICA;elisandratorres@hotmail.com;;CATANDUVA;LABORATORIO;administrativo@laboratorioguimaraes.com
234;PLACIDO COMERCIO DE MATERIAIS CIRURGICOS E HOSPITALARES EIRELI ME;mariaivani@cirurgicapaulista.med.br;;MARILIA;LABORATORIO;
500481;OBERON CENTRO VETERINARIO LTDA;laboratorio@oberonvet.com.br;;LETICIA;VETERINARIA;
50990;GREEN LIFE PET BRANDS LTDA;vendas@greenlifepet.com.br;;TATUI;VETERINARIA;
500546;SOLUTION GESTAO PUBLICA;;;PRESIDENTE ALVES;LABORATORIO;
500542;FUNDACAO DE APOIO INSTITUCIONAL MURAKI;;;MANAUS;LABORATORIO;
618;LAB. ANAL. CLIN. POMPEIA;;;POMPEIA;LABORATORIO;
50426;LABORATORIO DE ANALISES CLINICAS VIDA BIRIGUI LTDA;;;BIRIGUI;LABORATORIO;
3492;SOCIEDADE EDUCACIONAL UBERABENSE;;;UBERABA;LABORATORIO;
3019;SOCIEDADE EDUCACIONAL UBERABENSE;;;;LABORATORIO;
2199;SOCIEDADE EDUCACIONAL UBERABENSE;;;;LABORATORIO;
1147;cliente bia ;;;;LABORATORIO;
434;BIOLABOR LAB. ANAL. CLIN. SC LTDA.;;;;LABORATORIO;
52;HEMOVA HEMOTERAPIA VETERINARIA AVANÇADA E DIAGNOSTICOS;;;;LABORATORIO;
 51074;ADONEX COMÉRCIO DE PRODUTOS PARA LABORATÓRIO LTDA;adonex@gmail.com;;SAO PAULO ;LABORATORIO;
500726;INSTITUTO SOCIAL HOSPITAL ALEMAO OSWALDO CRUZ;luiz.ferraz@haoc.com.br;;santos ;LABORATORIO;
500752;LABORATORIO SAO LUCAS DE BROTAS SS LTDA;;;TORRINHA;LABORATORIO;
2763;cliente bia ;;;ITAPOLIS ;LABORATORIO;
51061;UNIMED AMPARO COOPERATIVA DE TRABALHO MEDICO;;;AMPARO;LABORATORIO;
3557;ASSOCIACAO BENEFICIENTE NOSSA SENHORA DE NAZARE;;;SÃO PAULO;LABORATORIO;
50769;SCQ SOLUCOES LABORATORIAIS LTDA;;;são carlos;REVENDA;
500772;IERT- INSTITUICOES DE ENSINO REUNIDAS TIETE LTDA;;;BARRA BONITA;LABORATORIO;
50861;JAQUELINE MARTINS RUIZ LAB DE ANALISES CLINICAS;;;IATPU;LABORATORIO;
408;FUND.DESENV.DE CIENCIAS FARMACEUTICAS;;;ARARAQUARA;LABORATORIO;
500829;VERONICA DE OLIVEIRA SALES PEREIRA;;;itu;LABORATORIO;
2093;IRMANDADE DA STA.CASA MISERIC.SAO CARLOS;;;SÃO CARLOS ;LABORATORIO;
500873;HOUPILLARD SERVICOS VETERINARIOS LTDA.;;;campinas;VETERINARIA;
51182;GENNER FABRIS FLORENCIO OLIVO;;;SANTA FE DO SUL;LABORATORIO;
500345;cliente claudia;;;;LABORATORIO;
500507;LABORATORIOS DOCTOR;;;ITU;LABORATORIO;
500949;CLIN KIDS SERVICOS MEDICOS S/A;;;SÃO PAULO;LABORATORIO;
500854;SOLUCOES FARMA DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA.;;;MINAS ;LABORATORIO;
20;DR BACCILI SERVICOS MEDICO HOSPITALARES S/S;;;;LABORATORIO;
500969;HOSPITAL BDW SP LTDA;;;SÃO PAULO;LABORATORIO;
500978;BIOGESP - ASSOC DE GESTAO E EXECUCAO DE SERV PUBLICOS E SOCIAIS;;;SÃO PAULO;HOSPITAL;
500982;INOVA LABORATORIO DE ANALISES CLINICAS LTDA;;;TORRINHA;LABORATORIO;
1234;LAB ANAL CLIN SAO JUDAS TADEU SC LTDA;;;CERQUILHO;LABORATORIO;
501033;EASYMED SERVICOS MEDICOS LTDA;;;;LABORATORIO;
501028;DOCTOR PRIME CLINICA E DIAGNOSTICOS LTDA;;;;LABORATORIO;
500337;LABORATORIO CORTES VILLELA LTDA;;;;LABORATORIO;
501042;DOCTOR PRIME CLINICA E DIAGNOSTICOS LTDA;;;;LABORATORIO;
501043;DOCTOR PRIME CLINICA E DIAGNOSTICOS LTDA;;;;LABORATORIO;
501054;EASYMED SERVICOS MEDICOS LTDA;;;;LABORATORIO;
51124;CIRÚRGICA PAULISTA COMERCIO PROD MED LTDA;;;;LABORATORIO;
501020;SOCIEDADE EDUCACIONAL UBERABENSE;;;;LABORATORIO;
501035;EASYMED SERVICOS MEDICOS LTDA;;;;LABORATORIO;
501070;EASYMED SERVICOS MEDICOS LTDA;;;;LABORATORIO;
501078;EASYMED SERVICOS MEDICOS LTDA;;;;LABORATORIO;
501079;EASYMED SERVICOS MEDICOS LTDA;;;;LABORATORIO;
2006;CLIENTE CAROL;;;;LABORATORIO;
500845;REDE D'OR SAO LUIZ S.A.;;;;LABORATORIO;
3105;BATISTA & BATISTA ANALISES CLINICAS LTDA;;;;LABORATORIO;
501153;LABORATORIO SAO ROQUE LTDA;;;;LABORATORIO;
1277;SAO ROQUE MEDICINA DIAGNOSTICA LTDA;;;;LABORATORIO;
501160;SAO ROQUE MEDICINA DIAGNOSTICA LTDA;;;;LABORATORIO;
501156;SERRA MAYOR SERVICOS MEDICOS S/A;;;;LABORATORIO;
3441;SOCIEDADE EDUCACIONAL UBERABENSE;;;;LABORATORIO;
500888;CAETANO FACCHINI DA VEIGA;;;;LABORATORIO;
501173;LUIZ FRANCISCO ZAFALON;;;;LABORATORIO;
500202;SOCIEDADE EDUCACIONAL UBERABENSE;;;;LABORATORIO;
501266;LABORATORIO DE ANALISES CLINICAS SRC FOZ DO IGUACU LTDA;;;;LABORATORIO;
