SKU;NOME;EMAIL;WHATS;CIDADE;SEGMENTO
316;BIONAL ANALISES CLINICAS LTDA;laboratoriobional@hotmail.com;;PIRACICABA;LABORATORIO
320;CASA DE SAUDE NOSSA SENHORA CONCEICAO;labcasadesaude@hotmail.com;;PALMITAL;
327;CENTRO INF. INVEST. HEMAT.DR.DOMINGOS A. BOLDRINI;financeiro@boldrini.org.br;;CAMPINAS;
340;LAB.BIOANALISES DE POCOS DE CALDAS SC LTDA;bioanalisepc_mg@hotmail.com;;POCOS DE CALDAS;LABORATORIO
342;CLINILAB LAB. MEDICO DE PATOL.E DIAGNOSTICO;clinilablaboratorio@hotmail.com;;POCOS DE CALDAS;
351;LABORATORIO CARVALHO DE ANALISES CLINICAS LTDA-ME;celiarqcpassos@uol.com.br;;PEDERNEIRAS;LABORATORIO
371;IMPACTA SERVICOS COMERCIO E LOCACAO DE EQUIPAMENTOS EIRELLI;labspcompras322@gmail.com;;TUPA;LABORATORIO
387;ASSOCIACAO UNIVIDA DE SANTA RITA DO PASSA QUATRO;auditoria@unividaplanodesaude.com.br;;SANTA RITA DO PASSA QUATRO;
400;LAB.ANAL.CLIN.GMDP S/C LTDA.;prognose@laboratorioprognose.com.br;;POCOS DE CALDAS;
462;LABORATORIOS REUNIDOS DA ALTA PAULISTA LTDA ME;labspcompras322@gmail.com;;TUPA;LABORATORIO
477;BIOMED LAB.ANAL.CLIN.SC LTDA.;laborbiomed@hotmail.com;;TAQUARITUBA;LABORATORIO
478;LAB. BIOQUIMICO CAMPOS SC LTDA.;sonia.labcampos@hotmail.com;;TATUI;
544;DRA SILVIA MASCARO LAB DE ANALISES CLINICAS LTDA;lab_nicanor@hotmail.com;;TORRINHA;
562;LABORATORIO DE ANALISES CLINICAS K&K LTDA ME;wkaram@aasp.org.br;;PATROCINIO PAULISTA;
563;FAI FUND.APOIO INST.DESENV.CIENT.E TECNOLOGICO;renata.rossi@fai.ufscar.br;;SAO CARLOS;
571;LAB. ANAL. CLIN. DR. PAULO FERNANDO V.MARTINI LTDA.;labdrpaulo@hotmail.com;;IBITINGA;
613;BIOANALISE LABORATORIO DE ANALISES CLINICAS S/S LTDA;lab_bioanalise@hotmail.com;;OSVALDO CRUZ;
616;LAB.ANAL.CLIN.SANTA MONICA SC LTDA;labsantamonica@labsantamonica.com;;PIRAJU;
633;IRMANDADE DA SANTA CASA DE PRESIDENTE VENCESLAU;compras@santacasavenceslau.com.br;;PRESIDENTE VENCESLAU;HOSPITAL
674;GLAUCE PILON DOS SANTOS LABORATORIO VETERINARIO;contato@labclinvet.com.br;;LIMEIRA;VETERINARIA
715;CIRURGICA RIOPRETANA LTDA EPP;cirurgicario@hotmail.com;;SAO JOSE DO RIO PRETO;
723;PROMED-LAB.ANAL.CLIN.S/C LTDA.;promedlaboratorio@terra.com.br;;SANTA RITA DO PASSA QUATRO;
727;JAGUARY LABORATORIO DE DIAGNOSTICO VETERINARIO LTDA;laboratorio2@jaguary.faj.br;;JAGUARIUNA;
735;LAB ANAL CLIN PASTEUR SC LTDA;laboratorio_pasteur3@hotmail.com;;TANABI;LABORATORIO
738;LAB. BIOMEDIC S/C LTDA;estoque@laboratoriobiomedic.com.br;;VOTUPORANGA;LABORATORIO
751;LABORATORIO SAO PAULO ANAL. CLIN. S/C LTDA.;compras@laboratoriosaopaulo.com.br;;ARACATUBA;LABORATORIO
764;ASSOC.FORNEC.DE CANA REG.CATANDUVA;adriana@afcrc.com.br;;CATANDUVA;
793;C R ANALISES CLINICAS;helo_vergacas@hotmail.com;;BORBOREMA;
797;BERTOLOTTI GARBIN & BOLOGNINI ANALISES CLINICAS LTDA. - ME;bruna.bg@hotmail.com;;SANTA RITA DO PASSA QUATRO;LABORATORIO
865;LSL-LABORATORIO DE ANALISES CLINICAS LTDA-EPP;suprimentos@laboratoriosaolucas.com.br;;RIO CLARO;LABORATORIO
882;SIQUEIRA E SOARES S/C LTDA;labsiqueira@yahoo.com.br;;MOCOCA;
892;M.C. x L.S. VICENTE S/C LTDA;fleminglab@hotmail.com;;VARGEM GRANDE DO SUL;
914;LAB. RIO CLARO ANAL.CLINICAS S/C LTDA;elaine@laboratoriorioclaro.com.br;;RIO CLARO;
917;BR LABORATORIO DE ANALISES CLINICAS VETERINARIA;biovetibitinga@gmail.com;;IBITINGA;
919;LEOPOLDO ANTONIO PEREIRA E OUTROS;contato@fazendasreunidasacp.com.br;;CARMO DO RIO CLARO;VETERINARIA
920;HOSPITAL VETERINARIO SAO FRANCISCO;laboratorio@saofranciscohv.com;;HORTOLANDIA;
924;LEONARDO DA VINCI RIBEIRO SIQUEIRA;fabiodoctorpilz@gmail.com;;PAULINIA;
944;LABORATORIO DE ANALISES CLINICAS ROBERTO BERNARDES;lab.robertobernardes2@bol.com.br;;TAMBAU;
994;CLINICA MEDICA E ODONTOLOGICA AMOR SAUDE AVARE LTDA;amorsaudeexames22@gmail.com;;AVARE;LABORATORIO
1011;ASSOCIACAO HOSPITALAR SANTA CASA DE LINS;compras@santacasalins.com.br;;LINS;
1024;UNIMED DE SÃO ROQUE COOPERATIVA DE TRABALHO MEDICO;compras-farmacia@unimedsaoroque.com.br;;SAO ROQUE;
1034;MORETON & MORETON LTDA;anamoreton@ig.com.br;;PEDREIRA;
1035;CENPAC-CENTRO DE PATOLOGIA CLINICA LTDA;emerson.salla@laboratoriosaofrancisco.com;;ECHAPORA;LABORATORIO
1037;LAB. ANAL. CLIN. TETSUO MANDAI SC.;ksmandai@ig.com.br;;PENAPOLIS;
1065;ROGER WILLIAM DELABIO;roger@famema.br;;MARILIA;
1104;SOC FILANTROPICA HOSP JOSE VENANCIO;compras@hospitaljosevenancio.com.br;;COLINA;
1124;PREFEITURA MUNICIPAL DE DESCALVADO;compras@descalvado.sp.gov.br;;DESCALVADO;
1126;VITALE LAB DE ANALISES CLIN ASSESSORIA MEDICA E ODONTO LTDA;vitalelab@hotmail.com;;LENCOIS PAULISTA;LABORATORIO
1126;;;;;
1203;FUNDACAO EDUCACIONAL DE VOTUPORANGA;compras@fev.edu.br;;VOTUPORANGA;
1215;CRIVA CENTRO REGIONAL DE RAD. INTERVENC. E VASCULAR LTDA;compras@ultrax.com.br;;SAO JOSE DO RIO PRETO;
1218;ASSOCIACAO PRUDENTINA EDUCACAO E CULTURA;ericorubira@unoeste.br;;PRESIDENTE PRUDENTE;
1228;MAIRA DA PENHA MARQUES DA SILVA PEREZ;marques.maira@gmail.com;;ARARAQUARA;
1232;ARCURI & GARCIA LTDA;rogerio.centerlab@gmail.com;;SAO SEBASTIAO DA GRAMA;
1246;CARMEM SILVIA DOS SANTOS;carmensilvia559@gmail.com;;JABOTICABAL;
1294;DALTON J. GUENZONI - LABORATORIO;;;;
1325;SAO FRANCISCO LAB. ANAL. CLIN. S/C LTDA.;compras@saofranciscolac.com.br;;SERRA NEGRA;LABORATORIO
1344;A.L.S.F. DE A. NA PROV. DE DEUS;compras@husf.com.br;;BRAGANCA PAULISTA;
1355;LABORATORIO ANALISES CLINICAS GALLI LTDA;laboratoriogalli@gmail.com;;JOSE BONIFACIO;
1389;FUNDACAO EDUCACIONAL DE FERNANDOPOLIS;compras@fef.edu.br;;FERNANDOPOLIS;
1446;LABORATORIO PALMA MELLO EIRELI;marttinhojunior@yahoo.com.br;;PARANAIBA;LABORATORIO
1509;TECVET DIAGNOSTICO VETERINARIO;thamara@tecvetdiagnosticos.com.br;;MOGI-MIRIM;
1518;FUNDACAO HERMINIO OMETTO;compras@uniararas.br;;ARARAS;FACULDADE
1543;ASSOCIACAO PRUDENTINA DE EDUCACAO E CULTURA APEC;ericorubira@unoeste.br;;GUARUJA;
1562;VIDA LABORATORIO DE ANALISES CLINICAS;lacvidaa@gmail.com;;TAMBAU;LABORATORIO
1571;SAO FRANCISCO LAB.ANAL.CLIN. SOCIEDADE SIMPLES;kleber.vicente@hsf.com.br;;MOGI-GUACU;LABORATORIO
1629;RIBEIRO & ZOBOLI LTDA;labsfrancisco@yahoo.com.br;;GUARANESIA;
1656;ANIMAL HEALTH CAES E GATOS LTDA;compras@caesegatos24h.com.br;;OSASCO;
1667;INSTITUTO DE DOENÇAS RENAIS S/S;idr.admclinica@idrsjbv.com.br;;SAO JOAO DA BOA VISTA;HOSPITAL
1693;ROSA & BAGATTA LTDA ME;vbagatta@yahoo.com.br;;TAMBAU;
1719;LAB.NOSSA SENHORA DO CARMO LTDA;labcarmo@micropic.com.br;;CAMBUI;
1722;BEBIDAS POTY LTDA;tassia.egea@bebidaspoty.com.br;;POTIRENDABA;
1730;DENISE PERUCA DE MELO MORETTI;dejo@uol.com.br;;BAURU;
1747;FUNDACAO LEONOR DE BARROS CAMARGO;helio.lab@haoc.org.br;;INDAIATUBA;HOSPITAL
1751;CHOICE GENETICS BRASIL LTDA;andrea@choice-genetics.com.br;;ESPIRITO STO. DO PINHAL;
1764;HOSPITAL CESAR LEITE;compras@hospitalcesarleite.com.br;;MANHUACU;
1769;TRIVET SERVICOS VETERINARIOS LTDA;trivet.vet@hotmail.com;;SANTA RITA DO PASSA QUATRO;VETERINARIA
1770;VITALABOR LABORATORIO DE ANALISES CLINICAS S/C LTDA;vitalabor@gmail.com;;LEME;
1781;LAB. ANAL. CLIN. SAO CAMILO DE TUPA SC LTDA;anacarol_muzzi@hotmail.com;;TUPA;
1796;CAMPINAS DAY HOSPITAL SS LTDA;farmacia@cdh.com.br;;CAMPINAS;
1811;LAB.SAO FRANCISCO ANAL. CLIN. LTDA.;antenornogueira9@hotmail.com;;MATAO;
1879;ICD  INST.COMPLEMENTACAO DIAGNOSTICA;marcia@laboratorioicd.com.br;;RIBEIRAO PRETO;
1881;UNIMED DE LORENA COOPERATIVA DE TRABALHO MEDICO;compras@unimed-lorena.com.br;;LORENA;LABORATORIO
1906;LABORATORIO PASTEUR DE ANALISES CLINICAS LTDA;ti@pasteurituiutaba.com.br;;ITUIUTABA;LABORATORIO
1909;IRMANDADE MISERICORDIA DE TAPIRATIBA;compras.saolucas6@gmail.com;;TAPIRATIBA;
1945;BIOANALISES LAB.DE TUPA SC LTDA.;grupobioanaliseh@gmail.com;;TUPA;
1984;HOSPITAL SAO FRANCISCO;financeiro@hsf.com.br;;MOGI-GUACU;
2023;SEMPERLAB PRODUTOS PARA LABORATORIO LTDA ME;semperlab@semperlab.com.br;;ARARAQUARA;
2047;UNIMED SUL PAULISTA COOPERATIVA DE TRABALHO MEDICO;contato@unimeditapetininga.com.br;;ITAPETININGA;
2049;LIMA & NAVARRI LABORATORIO VETERINARIO LTDA;contato@diagevet.com.br;;LIMEIRA;
2053;PREFEITURA MUNICIPAL DE ITAPETININGA;laboratorio.itape@gmail.com;;ITAPETININGA;
2055;LABCLINICAS - LABORATORIO DE ANALISES CLINICAS LTDA;contato@labclinicas.com.br;;CAMPINAS;
2240;ATLAS DIAGNOSTICA COMERCIO DE PROD.PARA LAB.LTDA ME;natty@atlasdiagnostica.com.br;;PRESIDENTE PRUDENTE;
2252;LAB. DE ANAL. CLIN SANTA MARIA DE FERNANDOPOLIS S/S LTDA;edson@laborsantamaria.com.br;;FERNANDOPOLIS;LABORATORIO
2283;ASSOCIACAO RANIERI DE EDUCACAO E CULTURA LTDA;compras@fibbauru.br;;BAURU;
2306;FUNDACAO DE APOIO AOS HOSPITAIS  VETERINARIOS DA UNESP;jaqueline.miranda@unesp.br;;BOTUCATU;
2313;FERRARI & PAVANELLO VETERINARIOS LTDA;cpavpatologia@gmail.com;;ARACATUBA;
2321;MEGA COMERCIAL CIENTIFICA EIRELI;admin@megacientifica.com.br;;BOTUCATU;
2329;CIRURGICA VITORIA COMERCIO DE MEDICAMENTOS LTDA EPP;cirurgicavitoria@licitacao@yahoo.com.br;;UCHOA;
2377;ANTONIETA SOLDERA;tosoldera@hotmail.com;;TAGUAI;
2417;F. C. AGRO NEGOCIO LTDA EPP;tatiane@focoagronegocio.com;;TAMBAU;
2429;SOCIEDADE CULTURAL E EDUCACIONAL DE GARCA S/S LTDA;compras@faef.br;;GARCA;FACULDADE
2446;PUPO & VICENTINI VETERINARIA LTDA;vet.mundopet@hotmail.com;;AMPARO;
2524;INSTITUTO PENIDO BURNIER S/S LTDA;compras@penidoburnier.com.br;;CAMPINAS;
2599;BIOVIDA SERVICO EM LABORATORIO DE ANALISES CLINICAS LTDA;biovvida.labi@hotmail.com;;JALES;
2606;ARICIA LULA LTDA;aricialula@hotmail.com;;BORBOREMA;
2667;TONIZZA E SOUZA LTDA;vita.lab@hotmail.com;;SANTO ANTONIO DO JARDIM;
2718;FAZENDA COLORADO;rodrigohernandes@fazendacolorado.com.br;;ARARAS;VETERINARIA
2736;ELIELSON JOSE FAGOTTI;financeiro@imperiodosanimais.com.br;;CACONDE;
2918;LABORATORIO DE ANALISES CLINICAS DE AVARE;compras@ipatavare.com;;AVARE;LABORATORIO
2934;NAD NUCLEO DE APOIO AO DIAGNOSTICO;contato@nadlaboratorio.com.br;;AGUAI;
2936;CEDIB CENTRO DE DIAGNOSTICO POR IMAGEM DE BARRETOS;financeiro@cedibbarretos.com.br;;BARRETOS;
2997;DIAGNOSE ANALISES CLINICAS LTDA;cleyton.diagnose@hotmail.com;;PRESIDENTE VENCESLAU;LABORATORIO
3069;BIOLAB DE IEPE LTDA EPP;biolabiiepe@uol.com.br;;IEPE;
3093;ANIMALTEC DIAGNOSTICOS VETERINARIOS LTDA;bpo@animaltec.com.br;;CAMPINAS;
3112;LABORATORIO LABG7 LTDA;atendimento@labg7.com .br;;TATUI;
3120;VANDERLEI SALVADOR BAGNATO;optica@ifsc.usp.br;;SAO CARLOS;
3155;PEREIRA E CALLEGARI LTDA;laborsaothome@gmail.com;;TRES CORACOES;
3164;MAURILIO DE SOUZA SIQUEIRA;mauriliodesouzasiqueira@yahoo.com.br;;BOTELHOS;
3175;KARINE BATAGIN BACCHIN;karinebatagin@gmail.com;;AMERICANA;
3218;IRMANDADE DA SANTA CASA DE MIS DE SANTA FE DO SUL;comprastacasastafe@hotmail.com;;SANTA FE DO SUL;
3232;AMEPET CLINICA MEDICA VETERINARIA;renataramos_vet@yahoo.com.br;;BAURU;VETERINARIA
3243;LAPACC VET LAB VETERINARIO LTDA ME;lapacccvet@gmail.com;;MARILIA;
3248;MIGUELAB PRESTACAO DE SERVICOS DE ANALISES CLINICAS EIRELI;labmiguelab@gmail.com;;CHARQUEADA;LABORATORIO
3321;LABVITTA LABORAT ANALISES CLIN LTDA-ME;marcelo@labvitta.com.br;;MOGI-GUACU;
3330;PET HEALTH MEDICINA INTENSIVA LTDA;direcao@domvet24h.com.br;;ARARAQUARA;
3345;COI CENTRO DE ORTOPEDIA E IMAGEM VETERINARIA LTDA;paula.aaspa@gmail.com;;OURINHOS;
3346;CAPRILAB LABORATÓRIO DE ANÁLISES CLÍNICAS;caprilab@caprilab.com.br;;SANTA BARBARA D OESTE;LABORATORIO
3353;LABORATORIO ANAL.CLINICAS OSWALDO CRUZ LTDA;compras@oswaldocruz.com.br;;TAUBATE;LABORATORIO
3374;LABORATORIO IVAN J GARCIA;elinefagarcia@gmail.com;;AVARE;LABORATORIO
3380;MILENA ARAUZ VIOL & CIA LTDA;cdlv.viol@gmail.com;;ARACATUBA;
3398;CASA DE CARIDADE DE MURIAE HOSPITAL SAO PAULO;logistica1@hsp.org.br;;MURIAE;HOSPITAL
3435;DUCATTI & DUCATTI COMERCIAL LTDA ME;contatocirurgica@gmail.com;;BEBEDOURO;
3551;MISSAO SALESIANA DE MATO GROSSO;compras@unisalesiano.com.br;;ARACATUBA;
17417;;;;;
50392;HELLEN CRISTINA SOUTO LTDA;h.soutovet@gmail.com;;CAMPINAS;
50400;PREFEITURA MUNICIPAL DE APIAI;laborapiai@bol.com.br;;APIAI;
50477;SANTA CASA SAO VICENTE DE PAULO DE TANABI;farmaciasctanabi@hotmail.com;;TANABI;
50518;UNIMED DE LORENA COOPERATIVA DE TRABALHO MEDICO;keila.neckel@unimed-lorena.com.br;;LORENA;HOSPITAL
50582;SALUTEM MEDICINA DIAGNOSTICA LTDA;marcelo@labvitta.com.br;;ITAPIRA;LABORATORIO
50603;SANTA CASA DE MISERICORDIA DE JOANOPOLIS;farmacia@santacasajoanopolis.com;;JOANOPOLIS;
50698;HB SOLUCOES LTDA;camila.s@hblaboratorios.com.br;;SOROCABA;
50699;CENTRO DE PESQUISA EM ANIMAIS DO BRASIL CPABR;compras@cpabr.com.br;;SANTO ANTONIO DE POSSE;LABORATORIO
50708;MUNICIPIO DE CHARQUEADA;flaviarodrigues@charqueada.sp.gov.br;;CHARQUEADA;
50720;ELENILTON DE OLIVEIRA DOMIS;edomis@solenis.com;;MOGI-GUACU;
50729;CENTRO DE IMAGENS VETERINARIAS LTDA;bpo@animaltec.com.br;;VINHEDO;VETERINARIA
50737;ULTRA SOM SERVICOS MEDICOS S.A;;;SAO JOSE DOS CAMPOS;
50739;MUNICIPIO DE SANTOS;lauroaguiar@santos.sp.gov.br;;SANTOS;
50746;ANALABVET LABORATORIO DE ANALISES VETERINARIAS;financeiroanalabvet@hotmail.com;;FRANCA;
50759;HELOISA SOBREIRO SELISTRE DE ARAUJO;ppgcf.coord@ufscar.br;;SAO CARLOS;
50779;FUND DE APOIO AO ENSINO PESQ E ASSISTENCIA HCFMRP USP;contato@faepa.br;;BAURU;
50798;RONDON SERVICOS VETERINARIOS LTDA;hvrondonsaudeanimal@gmail.com;;TIETE;VETERINARIA
50802;RONDON SERVICOS VETERINARIOS LTDA;hvrondonsaudeanimal@gmail.com;;TIETE;VETERINARIA
50806;LABORATORIO DE ANALISES CLINICAS VETERINARIAS;lacvetribeirao@outlook.com;;RIBEIRAO PRETO;
50809;SANDRA REGINA TORELLI & CIA LTDA;pagamento@animaltec.com.br;;JUNDIAI;
50810;LORENA BARCELOS DERROIDI;lorenabarcelos@hotmail.com;;ARARAQUARA;
50829;TECSA LABORATORIOS LTDA;contato@ciapav.com.br;;RIO PRETO;VETERINARIA
50855;MARCO ANTONIO CABRAL KOURROUSKI;marco_medvet@hotmail.com;;PIRASSUNUNGA;
50865;ULTRA SOM SERVICOS MEDICOS S.A.;;;BELO HORIZONTE;
50867;REPRODUX LABORATORIOS LTDA;comercial@reprodux.com.br;;ITAPIRA;
50893;L.P.VET LABORATORIO VETERINARIO LTDA;ipvet.lab@gmail.com;;DOIS CORREGOS;VETERINARIA
50960;HOSPITAL MAHATMA GANDHI;compras@mgandhi.com.br;;NOVO HORIZONTE;
50964;TECSA LABORATORIOS LTDA;contato@ciapav.com.br;;SAO JOSE DO RIO PRETO;VETERINARIA
50969;L. C. TALHAFERRO GOUVEIA ANALISES CLINICAS LTDA;rpnorte@plattalaboratorio.com.br;;SAO JOSE DO RIO PRETO;
50974;NORDEN HOSPITAL LTDA;michelli.silva@meunorden.com;;SAO CARLOS;HOSPITAL
50985;BMG DISTRIBUIDORA DE PRODUTOS;;;RIBEIRAO PRETO;
51037;LUCFERRATO COMERCIO DE ARTIGOS PARA ANIMAIS LTDA;contato@centromedicoveterinario.com.br;;CAMPINAS;VETERINARIA
51066;J. VIEIRA PET SHOP;contato.melpet@gmail.com;;CAMPINAS;VETERINARIA
51068;IBVET - CURSOS E EVENTOS LTDA;marketing3@ibvet.com.br;;JAGUARIUNA;VETERINARIA
51103;U.S.J. - ACUCAR E ALCOOL S/A -;fiscalusj@usj.com.br;;ARARAS;
51166;GREINER BIO-ONE BRASIL PRODUTOS MEDICOS HOSPITALARES LTDA;info@br.gbo.com;;AMERICANA;
51168;B2VET CENTRO DE DIAGNOSTICO VETERINARIO LTDA;financeiro@centrob2vet.com.br;;RIBEIRAO PRETO;VETERINARIA
51207;NATHALIA CRISTINA CIRONE SILVA;ncirone@unicamp.br;;CAMPINAS;
51233;SAMUEL MUNIZ MESSIAS FRANCO;biolabpocos@hotmail.com;;POCOS DE CALDAS;LABORATORIO
51244;RENATO URIAS FELIX DA SILVA;compras01@dracmalab.com;;GUARULHOS;
51251;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PEDERNEIRAS;santacasapederneirascompras02@gmail.com;;PEDERNEIRAS;
51282;MEGA VITA LABORATORIO DE ANALISES CLINICAS OURINHOS LTDA;almoxarifado@monzillo.com.br;;OURINHOS;
51291;SARAH RAQUEL DE ANNUNZIO;sdeannunzio@gmail.com;;ARARAQUARA;
51294;SOCIEDADE BRASILEIRA CAMINHO DE DAMASCO;gerencia.compra@ameandradina.com.br;;GARCA;
51306;LATIDOS E MIADOS MV INTEGRADA LTDA;contabil@lmveterinaria.com.br;;AMERICANA;
51307;;;;;
74272;;;;;
500025;SILVIO HENRIQUE SANTI ANTUNES EPP;echovetcampinas@gmail.com;;CAMPINAS;
500032;ZOOLOGICA - ASSISTENCIA EM DIAGNOSTICO VETERINARIO LTDA;carmen@zoologica.net;;CAMPINAS;VETERINARIA
500034;CLINICA MEDICA E ODONTOLOGICA SAUDE E VIDA;AMORSAUDEBOTUCATU21@GMAIL.COM;;BOTUCATU;
500053;INSTITUTO LAB VET ANA JULIA FELICIO SOC UNIPESSOAL LTDA;multilab.vet@gmail.com;;JAGUARIUNA;VETERINARIA
500060;ROSA SAIOMI TAKAZAWA;;;TAUBATE;
500071;STA CASA DE MISERC E ASILO DOS POBRES DE BATATAIS;almoxarifado2@santacasabatatais.com.br;;BATATAIS;HOSPITAL
500074;L&M - CLINICA VETERINARIA LTDA;dino_gheler@yahoo.com.br;;DESCALVADO;
500075;ANIMALAB CENTRO ESPEC EM DIAG POR IMAG E PAT CLIN VET LTDA;financeiro@animalab.vet;;LIMEIRA;
500079;GABRIELA MARIA MERIGO DE OLIVEIRA;gadeoliveira@solenis.com;;SANTA ROSA DE VITERBO;INDUSTRIA
500091;MYOUR PET SERVICOS VETERINARIOS E COMERCIO LTDA;hospital.adm@myourpet.com.br;;AMERICANA;
500097;CENTRO DE ANAL CLINICAS SAO FRANCISCO SOCIEDADE SIMPLES LTDA;kleber.vicente@hsf.com.br;;MOGI-GUACU;
500107;THAIS PEREIRA ROSICA;petshomeclinicaveterinaria@gmail.com;;BAURU;
500119;INSTITUTO DE SAUDE ANIMAL TAQUARAL;financeirohospvettaquaral@gmail.com;;CAMPINAS;VETERINARIA
500147;MUNICIPIO DE PLATINA;compras@platina.sp.gov.br;;PLATINA;
500166;OSTEN CLINICA VETERINARIA LTDA;dani.osten@gmail.com;;CERRO AZUL;
500185;COLICCHIO BANHO E TOSA LTDA;hospitalvet@yahoo.com.br;;RIO CLARO;VETERINARIA
500206;IMEVE - INDUSTRIA DE MEDICAMENTOS VETERINARIOS S/A;EDNEA.BONATTO@IMEVE.COM.BR;;JABOTICABAL;
500224;LEIZINARA GONÇALVES LOPES;administrativo@labdoc.com.br;;CAMPO GRANDE;
500229;GLOBAL COMÉRCIO REPRESENTAÇÕES E SERVIÇOS LTDA;global@globalcomercioservicos.com.br;;OLINDA;
500247;FUNDACAO ALEXANDRA SCHLUMBERGER;compras@fundacao.org.br;;SOROCABA;
500257;CENTRO DE PROC. COMPLEMENTACAO DIAG. APOIO E GESTAO EM SER. DE SAUDE  MACHADO BACHA LTDA;suporte@hematosul.com.br;;LAMBARI;LABORATORIO
500267;PAULA ADRIANE PICCOLO PIERIZZI;lab.animal.pet@gmail.com;;PIRASSUNUNGA;
500278;FUNDACAO HERMINIO OMETTO;compras2@fho.edu.br;;ARARAS;LABORATORIO
500280;LABORATORIO DE ANALISES CLINICAS SAO CAMILO DE CATANDUVA LTDA;contato@laboratoriossaocamilo.com;;CATANDUVA;
500286;SAO LUCAS MEDICINA OCUPACIONAL LTDA;compras@saolucasocupacional.com.br;;AMERICANA;
500301;REBOUCAS LABORATORIO DE ANALISES CLINICAS LTDA;suprimentos@laboratoriosaolucas.com.br;;SUMARE;LABORATORIO
500303;DINALAB COMERCIO E SERVIÇOS LTDA;financeiro@dinalab.com.br;;BIRIGUI;
500314;ANDERSON DE SOUZA SANTANA;proexfea@unicamp.br;;CAMPINAS;
500317;EDUARDO HARRY BIRGEL JUNIOR;ehbirgel@usp.br;;PIRASSUNUNGA;
500328;LABVET BRAGANCA LTDA;labvetbraganca@gmail.com;;BRAGANCA PAULISTA;
500355;CLINICA VETERINARIA PET FRANZ FRANZ LTDA;liderazienda@liderazienda.com.br;;VOTUPORANGA;VETERINARIA
500390;LAVIVE MEDICINA E DIAGNOSTICO LTDA;administrativo@lavivelaboratorio.com.br;;MORUNGABA;LABORATORIO
500071;STA CASA DE MISERC E ASILO DOS POBRES DE BATATAIS;almoxarifado2@santacasabatatais.com.br;;BATATAIS;
500339;BUDDZ CAMPINAS LTDA;douglas@tomoclinica.com.br;;CAMPINAS;
500898;;;;;
500377;ATIVOS MAGISTRADOS ;falecom@attm.com.br;;ANAPOLIS;INDUSTRIA
